Transaction_ID,Customer_Name,Email,Phone_Number,Transaction_Date,Amount,Status,Country
1,Shannon Pearson,nicholas27@yahoo.com,3879791011,12/5/2023,272.09,Complete,Bahamas
2,Brittany Williams,newmanlaura@hotmail.com,001-729-766-5717,16-06-2024,846.25,Complete,Oman
3,Joseph Hernandez,olee@jones.com,001-507-821-0659,16-06-2023,518.37,Pending,Saint Pierre and Miquelon
4,Angelica White,jessicajohnson@adams-taylor.net,+1-462-585-0041x50412,5/10/2023,93.55,Pending,Mauritius
5,Steven Snyder,ashley71@guzman.com,(306)260-8222,26-12-2023,923.93,Pending,Martinique
6,Paul Carroll,stephendixon@hotmail.com,(607)693-2164x2999,9/9/2024,934.11,Complete,San Marino
7,John Reed,nicholasbarker@hotmail.com,(661)840-3271x214,13-07-2024,331.04,Canceled,Chad
8,Michelle Williams,dharris@taylor-holt.org,001 677 422 1612x8784,,537.62,Complete,Comoros
9,Lisa Ray,kimberly84@gonzalez.com,(471)126-9615,11/7/2024,230.75,Canceled,Mongolia
10,Monica Brewer,charles23@hotmail.com,001-271-954-4336,24-11-2023,715.75,Complete,Isle of Man
11,Randy Smith,bobby10@frank.com,(312)549-4669x43767,29-03-2023,627.5,Complete,Qatar
12,David Sheppard,rtaylor@osborne.com,(715)633-4243x612,21-11-2023,366.52,Complete,Iran
13,Mark Moore,samanthaclarke@leonard.org,+1-875-136-7337x4111,18-10-2024,-18.2,Refunded,Congo
14,Isabella Thompson,douglas87@gmail.com,(422)531 8173,,81.51,Pending,Belgium
15,John Miller,lauren40@yahoo.com,953.416.2466,26-01-2025,373.21,Refunded,Ireland
16,Joshua Jackson,edgar76@hotmail.com,000.525.4409x343,12/8/2024,813.97,Refunded,Guinea-Bissau
17,Danny Coleman,marilynfreeman@yahoo.com,001-263-910-5121x9430,9/4/2023,37.43,Pending,Faroe Islands
18,Mr. Micheal Travis DDS,nguyendavid@harris.net,001-971-499-9796x66829,8/11/2023,774.08,Complete,Palestinian Territory
19,Aaron Flores,castrodawn@yahoo.com,6398000268,31-10-2024,920.69,Refunded,Papua New Guinea
20,Stephanie Lindsey,kgolden@hotmail.com,966.619.1391x9761,13-12-2023,255.37,Pending,Fiji
21,,nwilliams@hotmail.com,262-275-4694x6211,17-04-2023,499.43,Complete,Guernsey
22,Patricia Thompson,pholland@gmail.com,(542)755-7307x4659,7/11/2023,-34.31,Refunded,Afghanistan
23,Lisa Martinez,derek01@gmail.com,+1-935-663-0327x34007,,-58.32,Canceled,Luxembourg
24,Kevin Perez,jacob95@alexander.info,178-737-6385,26-07-2024,-73.54,Refunded,Cocos (Keeling) Islands
25,Michael Gordon Jr.,pattonjames@gmail.com,027-515-2584,18-11-2024,99.2,Pending,Myanmar
26,Brooke Johnson,otaylor@larson.org,509-957-3439x2970,18-09-2024,264.79,Complete,Niger
27,Patrick Adams,michealmeza@yahoo.com,243.140.9597x85790,13-02-2025,98.04,Complete,Japan
28,Madison Rowland,melinda78@ellis.com,001-168-967-8139x089,22-08-2024,572.16,Canceled,Cameroon
29,Patrick Davis,dunnnichole@yahoo.com,+1-190-597-3966x76417,,937.53,Pending,Tuvalu
30,Joshua Duncan,joshuabaker@conway-nolan.com,001-038-469-2318x8975,28-06-2023,661.91,Canceled,Bangladesh
31,Gregory Newman,mwilliams@hotmail.com,001-630-524-1738x1761,19-08-2024,553.42,Complete,Togo
32,Dr. Jamie Foster,ecarter@clark.com,681.968.6469x9104,7/9/2024,657.71,Canceled,Tuvalu
33,Diane Walker,charlesadams@gmail.com,084-416-8223,1/3/2024,306.61,Refunded,Greenland
34,Amber Alexander,christopherhickman@hotmail.com,(150)178-4917x76117,1/3/2025,168.09,Canceled,Afghanistan
35,Gerald Carlson,aperkins@yahoo.com,321.592.9852x8941,,663.37,Pending,Guinea
36,John Wilkinson,psanchez@yahoo.com,300.663.3695x05302,24-11-2023,-69.8,Refunded,Cambodia
37,Michael Pratt,amy47@hotmail.com,(686)820-9486,9/10/2024,295.17,Pending,Brunei Darussalam
38,Jared Patterson,tinalopez@hebert-hogan.com,001-004-700-7905x4301,7/8/2024,985.92,Pending,
39,Dr. Jason Mccormick,hsmith@hotmail.com,(439)567-5068x696,23-07-2023,905.31,Refunded,Colombia
40,Gabriel Smith,creese@hotmail.com,+1-580-523-5675x26935,31-12-2024,374.02,Canceled,Pakistan
41,Justin Snyder,rileyjamie@hotmail.com,001-829-769-7939,21-10-2023,796.76,Canceled,Malaysia
42,Nancy Lopez,garciajeff@yahoo.com,365.612.6943,9/8/2023,62.95,Refunded,Gibraltar
43,Julie Leach,maywilliam@gmail.com,526.387.9821x0362,25-05-2023,129.95,Canceled,Reunion
44,Michael Carroll,linda12@thomas.org,+1-087-696-7110x1798,14-10-2023,726.09,Pending,Hungary
45,Tiffany Hansen,patriciayoung@gmail.com,883.620.1671,17-11-2023,387.59,Pending,Jamaica
46,Kimberly Beck,davidruiz@gmail.com,527.931.9638,1/12/2023,695.6,Refunded,Malawi
47,Nichole Watson,rwalker@sherman-jones.com,001-197-981-3028x43060,25-09-2023,554.69,Canceled,Kenya
48,Carol Jordan,vsantana@hotmail.com,072.890.7495x694,8/2/2025,274.36,Canceled,Faroe Islands
49,Kelly Morton MD,christinathomas@price.com,449-260-2093,14-09-2023,281.22,Canceled,Yemen
50,Anna Estrada,james31@gmail.com,489.072.8290x8824,12/1/2025,492.28,Pending,Denmark
51,Emily Hamilton,laurastewart@rodriguez.net,001-617-760-5662,11/10/2024,468.43,Complete,Oman
52,Jacqueline Everett,ferrellmichael@yahoo.com,922.432.3388,,,Refunded,Egypt
53,,taylorbarker@gmail.com,2063250164,14-05-2023,55.45,Complete,Saint Vincent and the Grenadines
54,Mallory Hodges,thomasayers@gmail.com,5192577598,16-02-2024,191,Refunded,Argentina
55,Kelly Porter,ryan93@gmail.com,288.127.0880x202,19-04-2024,859.35,Refunded,Saint Vincent and the Grenadines
56,Micheal Ramsey,butleranthony@rubio.net,001-097-362-7873x5914,30-05-2024,290.87,Complete,Cambodia
57,Kristy Melendez,greenjamie@farmer.org,193.640.5362,19-05-2023,712.06,Pending,Fiji
58,Christina Lee,kpope@gmail.com,+1-775-118-0384x485,21-07-2023,-99.26,Canceled,Guinea
59,Kathleen Parker,kyle03#yahoo.com,204.800.0633,6/1/2024,712.17,Pending,Saint Vincent and the Grenadines
60,Troy Wise,deaton@hotmail.com,396-842-4958x8515,24-03-2024,732.65,Pending,Chad
61,Chelsea Rubio,stephen26@gmail.com,627.715.7386x84806,23-06-2024,750.71,Complete,Martinique
62,Danielle Beasley,leeeric@smith-bridges.net,(057)241-6953x919,18-02-2025,681.41,Pending,Antarctica (the territory South of 60 deg S)
63,Shawn Wilson,ccervantes@mccullough-king.com,680 906 3521x01112,10/2/2024,612.88,Pending,Swaziland
